1,Millennium Falcon,YT-1300 Light Freighter,3793
2,USS Enterprise,Constitution-class Starship,3976
3,Discovery One,-,2880
4,TIE Fighter,TIE/ln Starfighter,2625
5,X-Wing,T-65 X-Wing Starfighter,2474
6,Imperial-class Star Destroyer,Imperial-class Star Destroyer,3237
7,USS Defiant,Defiant-class Starship,2781
8,Slave I,Firespray-31-class Patrol and Attack Craft,3318
9,USS Excelsior,Excelsior-class Starship,2431
10,Borg Cube,Borg Tactical Cube,3610
11,Star Destroyer,Venator-class Star Destroyer,2908
12,USS Voyager,Intrepid-class Starship,3256
13,Death Star,DS-1 Orbital Battle Station,3460
14,USS Enterprise,Galaxy-class Starship,3572
15,TIE Interceptor,TIE/IN Interceptor,3187
16,Slave II,Modified Firespray-31-class Patrol and Attack Craft,2498
17,USS Prometheus,Prometheus-class Starship,3897
18,Star Destroyer,Imperial II-class Star Destroyer,2869
19,Death Star II,DS-2 Orbital Battle Station,3128
20,USS Kelvin,Kelvin-type Starship,3152
21,TIE Advanced x1,TIE Advanced Prototype,3966
22,Imperial Shuttle,Lambda-class T-4a Shuttle,3355
23,USS Enterprise,Sovereign-class Starship,3665
24,Executor-class Super Star Destroyer,Executor-class Star Dreadnought,3163
25,USS Discovery,Crossfield-class Science Vessel,3863
26,TIE Bomber,TIE/sa Bomber,2754
27,Firespray-31-class Patrol and Attack Craft,Firespray-31-class Patrol and Attack Craft,3541
28,USS Reliant,Miranda-class Starship,2193
29,USS Excelsior,NX-2000 Excelsior Starship,3214
30,Borg Sphere,Borg Sphere,3714
31,USS Kelvin,Kelvin-type Starship,2145
32,USS Prometheus,Prometheus-class Starship,2217
33,USS Discovery,Crossfield-class Science Vessel,2007
34,USS Reliant,Miranda-class Starship,2150
35,USS Excelsior,NX-2000 Excelsior Starship,2285
36,USS Defiant,Valiant-class Starship,2253
37,USS Discovery,NCC-1031 Discovery-class Starship,2072
38,USS Shenzhou,Walker-class Starship,2247
39,USS Saratoga,Miranda-class Starship,2126
40,USS Grissom,Oberth-class Starship,2061
41,USS Titan,Luna-class Starship,2249
42,USS Franklin,Franklin-type Starship,2044
43,USS Europa,-,2078
44,USS Cerritos,California-class Starship,2015
45,USS Stargazer,Constellation-class Starship,2257
46,USS Valiant,-,2213
47,USS Yeager,Saber-class Starship,2263
48,USS Pasteur,Olympic-class Starship,2260
49,USS Yamato,Galaxy-class Starship,2259
50,USS Intrepid,Intrepid-class Starship,2130
51,Outrider,Corellian Engineering Corporation YT-2400 light freighter,3819
52,Ebon Hawk,Dynamic-class freighter,3987
53,Ghost,VCX-100 Light Freighter,3870
54,Razor Crest,Razor Crest,3879
55,Shadow Chaser,Aggressive ReConnaissance-170 starfighter,3898
56,Ravager,Interdictor-class Star Destroyer,3813
57,Defender,T-85 X-wing Starfighter,3965
58,Scimitar,Sith Infiltrator,3866
59,Chimaera,Imperial II-class Star Destroyer,4034
60,Nebulon Ranger,Nebulon Ranger,3969
61,Rogue Shadow,Rogue Shadow,4033
62,Redeemer,Subjugator-class heavy cruiser,4044
63,Crucible,Assault Frigate Mark II,4022
64,Liberator,MC80 Star Cruiser,4076
65,Executor,Executor-class Star Dreadnought,4078
66,Mon Calamari Star Cruiser,MC75 Star Cruiser,4065
67,Nebulon-B Frigate,EF76 Nebulon-B Escort Frigate,3828
68,Virulence,Pursuer-class Enforcement Ship,3857
69,Hammerhead,Hammerhead Corvette,3987
70,Tantive IV,CR90 Corvette,3833
71,Malevolence,Subjugator-class heavy cruiser,3820
72,Coronet,Ambassador-class Starship,3918
73,Helot,Helot-class Star Destroyer,3989
74,Longprobe,Gamma-class ATR-6 Assault Transport/Reconnaissance vessel,3868
75,Pulsar Skate,Pulsar Skate,4086
76,G1-M4-C Dunelizard,G1-M4-C Dunelizard,4010
77,Colossus,Colossus,4090
78,Last Resort,Last Resort,4037
79,Greased Lightning,Greased Lightning,4094
80,Mirage,MC-40a Light Cruiser,3951
81,StarForge,Star Forge,3964
82,Razor Crest,Razor Crest,3887
83,Twilight,SoroSuub Corporation G9 Rigger freighter,3884
84,Nightbrother,Gauntlet starfighter,3875
85,Gauntlet Starfighter,Gauntlet starfighter,4041
86,Marauder,Imperial Marauder,4005
87,Bad Batch Shuttle,Omicron-class attack shuttle,4003
88,Imperial Freighter,Sentinel-class landing craft,4071
89,Imperial Shuttle,Lambda-class T-4a Shuttle,3830
90,Mandalorian Fighter,Fang Fighter,3836
91,Imperial Dropship,Low Altitude Assault Transport/infantry (LAAT/i),3832
92,ARC-170 Starfighter,Aggressive ReConnaissance-170 starfighter,4063
93,Jedi Starfighter,Delta-7 Aethersprite,3987
94,Y-Wing Starfighter,BTL Y-wing starfighter,4022
95,A-Wing Starfighter,RZ-1 A-wing interceptor,3934
96,Slave I,Firespray-31-class Patrol and Attack Craft,3885
97,Death Star,DS-1 Orbital Battle Station,3907
98,TIE Advanced x1,TIE Advanced x1,3969
99,Lambda-class Shuttle,Lambda-class T-4a Shuttle,4071
